driver_gender,driver_age,driver_race,stop_duration,drugs_related_stop,violation,stop_outcome
M,21,White,0-15 Min,FALSE,Moving violation,Arrest Driver
M,26,White,0-15 Min,FALSE,Speeding,Arrest Driver
F,26,Black,16-30 Min,FALSE,Moving violation,Arrest Driver
M,47,White,16-30 Min,FALSE,Equipment,Arrest Driver
M,25,Black,30+ Min,FALSE,Moving violation,Arrest Driver
M,48,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,43,Black,16-30 Min,FALSE,Registration/plates,Arrest Driver
M,33,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,23,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,38,White,16-30 Min,FALSE,Equipment,Arrest Driver
M,52,White,16-30 Min,FALSE,Registration/plates,Arrest Driver
M,32,Black,16-30 Min,FALSE,Speeding,Arrest Driver
M,32,White,16-30 Min,FALSE,Registration/plates,Arrest Driver
F,40,Black,30+ Min,FALSE,Moving violation,Arrest Driver
F,40,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,20,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,37,White,30+ Min,FALSE,Speeding,Arrest Driver
F,18,Black,30+ Min,FALSE,Registration/plates,Arrest Driver
F,18,Black,30+ Min,FALSE,Registration/plates,Arrest Driver
F,29,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,24,White,16-30 Min,FALSE,Moving violation,Arrest Driver
M,26,White,30+ Min,TRUE,Moving violation,Arrest Driver
M,20,Black,0-15 Min,FALSE,Equipment,Arrest Driver
M,46,Black,16-30 Min,FALSE,Moving violation,Arrest Driver
M,37,White,16-30 Min,FALSE,Equipment,Arrest Driver
M,47,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,26,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,42,Black,16-30 Min,FALSE,Moving violation,Arrest Driver
M,19,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,26,Black,0-15 Min,FALSE,Registration/plates,Arrest Driver
F,19,White,16-30 Min,FALSE,Moving violation,Arrest Driver
M,41,Hispanic,16-30 Min,FALSE,Speeding,Arrest Driver
M,22,Black,16-30 Min,FALSE,Equipment,Arrest Driver
M,26,Hispanic,16-30 Min,FALSE,Equipment,Arrest Driver
M,46,Black,16-30 Min,FALSE,Moving violation,Arrest Driver
M,19,White,0-15 Min,FALSE,Speeding,Arrest Driver
F,43,Black,16-30 Min,FALSE,Registration/plates,Arrest Driver
M,44,White,30+ Min,FALSE,Speeding,Arrest Driver
F,20,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,32,Black,0-15 Min,FALSE,Speeding,Arrest Driver
M,42,Hispanic,16-30 Min,FALSE,Speeding,Arrest Driver
M,63,White,16-30 Min,FALSE,Equipment,Arrest Driver
M,50,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,46,White,16-30 Min,FALSE,Moving violation,Arrest Driver
M,27,Hispanic,16-30 Min,FALSE,Moving violation,Arrest Driver
F,25,Black,16-30 Min,FALSE,Other,Arrest Passenger
M,26,Black,16-30 Min,FALSE,Equipment,Arrest Driver
M,26,White,30+ Min,FALSE,Moving violation,Arrest Driver
F,20,Asian,16-30 Min,FALSE,Speeding,Arrest Driver
M,20,White,30+ Min,FALSE,Speeding,Arrest Passenger
M,33,Black,16-30 Min,FALSE,Equipment,Arrest Driver
M,21,White,0-15 Min,FALSE,Moving violation,Arrest Driver
M,21,White,0-15 Min,FALSE,Moving violation,Arrest Driver
M,19,Black,0-15 Min,FALSE,Moving violation,Arrest Driver
M,49,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,26,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,23,Hispanic,16-30 Min,FALSE,Equipment,Arrest Driver
M,20,White,16-30 Min,FALSE,Registration/plates,Arrest Driver
M,32,Black,0-15 Min,FALSE,Moving violation,Arrest Driver
M,61,White,30+ Min,FALSE,Other,Arrest Passenger
M,21,Black,0-15 Min,FALSE,Registration/plates,Arrest Driver
M,21,Black,16-30 Min,FALSE,Moving violation,Arrest Driver
M,21,Black,16-30 Min,FALSE,Registration/plates,Arrest Driver
M,27,Asian,0-15 Min,FALSE,Moving violation,Arrest Driver
M,41,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,24,Black,30+ Min,FALSE,Other,Arrest Driver
M,23,White,30+ Min,FALSE,Equipment,Arrest Driver
M,23,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,20,Hispanic,30+ Min,FALSE,Speeding,Arrest Driver
M,34,White,16-30 Min,FALSE,Moving violation,Arrest Driver
M,37,White,30+ Min,TRUE,Speeding,Arrest Passenger
M,21,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,44,White,30+ Min,FALSE,Speeding,Arrest Driver
M,23,Hispanic,16-30 Min,FALSE,Speeding,Arrest Driver
M,21,Black,16-30 Min,FALSE,Speeding,Arrest Driver
M,26,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,42,Hispanic,30+ Min,FALSE,Equipment,Arrest Driver
M,31,Black,16-30 Min,FALSE,Moving violation,Arrest Driver
F,56,White,16-30 Min,FALSE,Speeding,Arrest Passenger
M,21,White,0-15 Min,FALSE,Moving violation,Arrest Driver
M,35,White,30+ Min,FALSE,Registration/plates,Arrest Driver
M,26,Black,30+ Min,TRUE,Moving violation,Arrest Driver
M,47,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,25,White,16-30 Min,FALSE,Other,Arrest Driver
M,31,Asian,16-30 Min,FALSE,Speeding,Arrest Driver
M,29,Black,0-15 Min,FALSE,Moving violation,Arrest Driver
M,29,Black,16-30 Min,FALSE,Speeding,Arrest Driver
M,25,Black,0-15 Min,FALSE,Moving violation,Arrest Driver
M,40,Black,16-30 Min,FALSE,Moving violation,Arrest Driver
M,32,White,16-30 Min,FALSE,Speeding,Arrest Driver
F,39,Black,16-30 Min,FALSE,Moving violation,Arrest Driver
M,26,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,18,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,32,White,16-30 Min,FALSE,Registration/plates,Arrest Driver
F,39,White,30+ Min,FALSE,Other,Arrest Driver
M,44,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,31,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,23,White,30+ Min,FALSE,Other,Arrest Driver
M,24,White,16-30 Min,FALSE,Registration/plates,Arrest Driver
M,21,White,0-15 Min,FALSE,Other,Arrest Driver
M,36,White,30+ Min,FALSE,Registration/plates,Arrest Driver
M,43,White,30+ Min,FALSE,Other,Arrest Driver
M,29,White,16-30 Min,FALSE,Moving violation,Arrest Driver
M,28,Black,16-30 Min,FALSE,Registration/plates,Arrest Driver
M,21,White,16-30 Min,FALSE,Moving violation,Arrest Driver
M,20,Hispanic,30+ Min,FALSE,Other,Arrest Driver
M,20,Hispanic,30+ Min,FALSE,Other,Arrest Driver
M,19,White,30+ Min,FALSE,Speeding,Arrest Driver
M,32,White,30+ Min,FALSE,Speeding,Arrest Driver
F,59,White,30+ Min,FALSE,Speeding,Arrest Driver
M,48,White,16-30 Min,FALSE,Other,Arrest Driver
M,48,White,16-30 Min,FALSE,Other,Arrest Driver
M,38,Black,16-30 Min,FALSE,Speeding,Arrest Driver
M,41,Black,30+ Min,FALSE,Registration/plates,Arrest Driver
M,19,White,30+ Min,FALSE,Equipment,Arrest Driver
F,45,White,30+ Min,FALSE,Other,Arrest Driver
M,33,Black,30+ Min,FALSE,Equipment,Arrest Passenger
M,18,Black,0-15 Min,FALSE,Equipment,Arrest Driver
M,23,White,0-15 Min,FALSE,Equipment,Arrest Driver
M,23,White,0-15 Min,FALSE,Equipment,Arrest Driver
M,25,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,35,Black,16-30 Min,FALSE,Registration/plates,Arrest Driver
F,26,Black,16-30 Min,FALSE,Registration/plates,Arrest Driver
F,21,Black,0-15 Min,FALSE,Registration/plates,Arrest Driver
M,22,Black,30+ Min,FALSE,Equipment,Arrest Driver
M,23,Black,16-30 Min,FALSE,Moving violation,Arrest Driver
M,36,White,30+ Min,FALSE,Speeding,Arrest Driver
M,19,White,30+ Min,FALSE,Other,Arrest Driver
M,35,White,30+ Min,FALSE,Speeding,Arrest Driver
M,20,Hispanic,30+ Min,FALSE,Speeding,Arrest Driver
M,23,White,16-30 Min,FALSE,Registration/plates,Arrest Driver
M,27,Black,16-30 Min,FALSE,Equipment,Arrest Driver
M,26,Black,0-15 Min,FALSE,Equipment,Arrest Driver
M,27,White,16-30 Min,FALSE,Registration/plates,Arrest Driver
M,35,White,16-30 Min,FALSE,Registration/plates,Arrest Driver
F,25,White,30+ Min,FALSE,Equipment,Arrest Driver
F,25,White,30+ Min,FALSE,Equipment,Arrest Driver
M,31,White,30+ Min,FALSE,Equipment,Arrest Driver
M,55,Black,16-30 Min,FALSE,Speeding,Arrest Driver
M,45,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,25,Asian,30+ Min,FALSE,Speeding,Arrest Driver
M,24,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,24,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,35,Black,0-15 Min,FALSE,Speeding,Arrest Driver
F,23,White,16-30 Min,FALSE,Registration/plates,Arrest Passenger
M,30,Black,30+ Min,FALSE,Speeding,Arrest Driver
M,52,Black,0-15 Min,FALSE,Speeding,Arrest Driver
M,28,White,30+ Min,FALSE,Speeding,Arrest Driver
M,36,Black,30+ Min,FALSE,Speeding,Arrest Driver
F,22,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,34,White,16-30 Min,FALSE,Equipment,Arrest Driver
M,19,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,31,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,39,Black,30+ Min,FALSE,Moving violation,Arrest Driver
M,25,Black,16-30 Min,FALSE,Speeding,Arrest Driver
M,20,Hispanic,16-30 Min,FALSE,Other,Arrest Driver
M,24,Black,16-30 Min,FALSE,Speeding,Arrest Passenger
M,20,White,16-30 Min,FALSE,Equipment,Arrest Driver
M,20,White,16-30 Min,FALSE,Equipment,Arrest Driver
M,29,Black,16-30 Min,FALSE,Equipment,Arrest Driver
F,43,White,0-15 Min,FALSE,Moving violation,Arrest Driver
M,38,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,33,Black,30+ Min,FALSE,Equipment,Arrest Driver
M,31,Black,16-30 Min,FALSE,Equipment,Arrest Driver
M,50,White,16-30 Min,FALSE,Registration/plates,Arrest Driver
F,27,White,16-30 Min,TRUE,Equipment,Arrest Driver
F,25,White,30+ Min,FALSE,Equipment,Arrest Driver
M,22,White,0-15 Min,FALSE,Registration/plates,Arrest Driver
M,23,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,23,Hispanic,30+ Min,FALSE,Speeding,Arrest Driver
M,39,Black,16-30 Min,FALSE,Moving violation,Arrest Driver
M,38,Black,30+ Min,FALSE,Speeding,Arrest Driver
M,35,Black,16-30 Min,FALSE,Equipment,Arrest Driver
M,33,White,16-30 Min,FALSE,Other,Arrest Driver
M,25,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,36,Black,30+ Min,FALSE,Moving violation,Arrest Driver
F,23,White,30+ Min,FALSE,Speeding,Arrest Driver
M,38,White,16-30 Min,FALSE,Moving violation,Arrest Driver
M,21,Black,16-30 Min,FALSE,Equipment,Arrest Driver
M,45,Black,30+ Min,FALSE,Speeding,Arrest Driver
M,25,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,24,White,30+ Min,FALSE,Speeding,Arrest Driver
M,24,White,16-30 Min,FALSE,Registration/plates,Arrest Driver
F,29,Black,30+ Min,FALSE,Speeding,Arrest Driver
F,29,Black,16-30 Min,FALSE,Speeding,Arrest Driver
M,61,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,24,Asian,16-30 Min,FALSE,Equipment,Arrest Driver
M,28,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,22,Black,16-30 Min,FALSE,Moving violation,Arrest Driver
M,27,White,16-30 Min,FALSE,Speeding,Arrest Driver
F,31,White,30+ Min,FALSE,Equipment,Arrest Driver
F,39,White,30+ Min,FALSE,Speeding,Arrest Driver
M,30,White,30+ Min,FALSE,Moving violation,Arrest Driver
F,33,Asian,0-15 Min,FALSE,Speeding,Arrest Driver
M,21,Black,16-30 Min,FALSE,Other,Arrest Driver
M,21,Black,16-30 Min,FALSE,Other,Arrest Driver
M,19,Black,30+ Min,TRUE,Other,Arrest Passenger
F,41,Black,16-30 Min,FALSE,Registration/plates,Arrest Driver
M,30,Black,30+ Min,FALSE,Speeding,Arrest Driver
M,40,Black,16-30 Min,FALSE,Moving violation,Arrest Driver
M,21,White,30+ Min,FALSE,Other,Arrest Driver
F,41,White,30+ Min,FALSE,Registration/plates,Arrest Driver
M,28,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,38,White,30+ Min,FALSE,Other,Arrest Driver
F,36,White,16-30 Min,FALSE,Moving violation,Arrest Driver
F,23,White,30+ Min,FALSE,Equipment,Arrest Passenger
M,27,Black,16-30 Min,FALSE,Speeding,Arrest Driver
M,37,White,16-30 Min,FALSE,Moving violation,Arrest Driver
M,19,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,24,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,21,Black,30+ Min,TRUE,Moving violation,Arrest Driver
M,21,Black,30+ Min,TRUE,Moving violation,Arrest Driver
M,27,Black,16-30 Min,FALSE,Registration/plates,Arrest Driver
M,44,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,23,White,0-15 Min,FALSE,Speeding,Arrest Driver
M,22,White,30+ Min,FALSE,Other,Arrest Driver
M,17,White,16-30 Min,FALSE,Other,Arrest Driver
M,35,White,16-30 Min,FALSE,Moving violation,Arrest Driver
F,25,Black,30+ Min,FALSE,Registration/plates,Arrest Driver
F,30,White,16-30 Min,FALSE,Speeding,Arrest Passenger
M,21,White,16-30 Min,FALSE,Speeding,Arrest Driver
F,20,White,16-30 Min,FALSE,Registration/plates,Arrest Driver
M,38,White,30+ Min,TRUE,Speeding,Arrest Driver
M,38,White,30+ Min,FALSE,Speeding,Arrest Driver
M,58,Hispanic,16-30 Min,FALSE,Moving violation,Arrest Driver
M,22,Hispanic,16-30 Min,FALSE,Speeding,Arrest Driver
M,28,White,0-15 Min,FALSE,Other,Arrest Driver
M,34,White,16-30 Min,FALSE,Equipment,Arrest Driver
M,20,Black,16-30 Min,FALSE,Equipment,Arrest Passenger
M,41,White,30+ Min,FALSE,Speeding,Arrest Driver
M,19,Black,16-30 Min,FALSE,Registration/plates,Arrest Driver
M,47,Black,16-30 Min,FALSE,Moving violation,Arrest Driver
F,43,Black,16-30 Min,FALSE,Speeding,Arrest Driver
M,36,White,16-30 Min,FALSE,Equipment,Arrest Driver
F,52,White,16-30 Min,FALSE,Registration/plates,Arrest Driver
M,22,White,16-30 Min,FALSE,Speeding,Arrest Driver
F,34,White,0-15 Min,FALSE,Moving violation,Arrest Driver
M,28,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,46,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,29,White,16-30 Min,FALSE,Moving violation,Arrest Driver
M,20,White,16-30 Min,FALSE,Registration/plates,Arrest Driver
M,27,White,16-30 Min,FALSE,Moving violation,Arrest Driver
M,52,White,16-30 Min,TRUE,Speeding,Arrest Driver
M,23,Black,30+ Min,FALSE,Equipment,Arrest Driver
M,33,White,16-30 Min,FALSE,Equipment,Arrest Driver
M,18,White,0-15 Min,FALSE,Equipment,Arrest Driver
M,27,White,16-30 Min,FALSE,Speeding,Arrest Passenger
M,26,Asian,16-30 Min,FALSE,Speeding,Arrest Driver
M,41,White,0-15 Min,TRUE,Moving violation,Arrest Driver
M,20,White,0-15 Min,FALSE,Speeding,Arrest Driver
M,21,White,30+ Min,TRUE,Speeding,Arrest Driver
M,37,White,30+ Min,FALSE,Equipment,Arrest Driver
M,21,White,30+ Min,FALSE,Speeding,Arrest Driver
F,25,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,21,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,26,White,0-15 Min,FALSE,Speeding,Arrest Driver
M,26,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,24,White,30+ Min,FALSE,Speeding,Arrest Driver
M,24,Black,16-30 Min,FALSE,Moving violation,Arrest Driver
M,35,Black,30+ Min,FALSE,Registration/plates,Arrest Driver
M,19,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,31,Hispanic,16-30 Min,FALSE,Registration/plates,Arrest Driver
M,26,White,16-30 Min,FALSE,Moving violation,Arrest Driver
F,22,White,16-30 Min,FALSE,Equipment,Arrest Driver
M,20,White,16-30 Min,FALSE,Equipment,Arrest Driver
M,29,Black,30+ Min,FALSE,Equipment,Arrest Driver
M,25,White,16-30 Min,FALSE,Equipment,Arrest Driver
M,53,White,30+ Min,FALSE,Other,Arrest Driver
M,32,White,30+ Min,FALSE,Speeding,Arrest Driver
F,28,White,16-30 Min,FALSE,Equipment,Arrest Driver
M,26,Black,16-30 Min,FALSE,Equipment,Arrest Driver
M,35,White,16-30 Min,FALSE,Moving violation,Arrest Passenger
M,36,Black,16-30 Min,FALSE,Equipment,Arrest Driver
M,21,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,45,White,30+ Min,FALSE,Speeding,Arrest Driver
M,28,White,30+ Min,FALSE,Speeding,Arrest Driver
M,28,White,0-15 Min,FALSE,Equipment,Arrest Driver
F,44,White,30+ Min,FALSE,Other,Arrest Driver
F,44,White,30+ Min,FALSE,Other,Arrest Driver
M,29,Hispanic,16-30 Min,FALSE,Other,Arrest Driver
M,29,Hispanic,16-30 Min,FALSE,Other,Arrest Driver
M,29,White,30+ Min,FALSE,Equipment,Arrest Driver
M,20,Black,0-15 Min,FALSE,Moving violation,Arrest Driver
M,19,White,30+ Min,FALSE,Other,Arrest Driver
M,26,Black,30+ Min,FALSE,Registration/plates,Arrest Driver
M,22,Black,0-15 Min,FALSE,Moving violation,Arrest Driver
M,32,Black,30+ Min,FALSE,Speeding,Arrest Driver
M,23,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,27,White,30+ Min,FALSE,Other,Arrest Driver
M,26,White,30+ Min,FALSE,Moving violation,Arrest Driver
F,25,White,30+ Min,FALSE,Equipment,Arrest Passenger
M,25,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,31,White,0-15 Min,FALSE,Moving violation,Arrest Driver
M,27,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,28,Hispanic,0-15 Min,FALSE,Other,Arrest Driver
F,19,White,30+ Min,FALSE,Other,Arrest Driver
M,43,Black,0-15 Min,FALSE,Registration/plates,Arrest Driver
M,18,White,30+ Min,FALSE,Registration/plates,Arrest Driver
M,18,White,30+ Min,FALSE,Registration/plates,Arrest Driver
M,22,Black,30+ Min,FALSE,Moving violation,Arrest Driver
M,21,White,30+ Min,FALSE,Speeding,Arrest Driver
M,45,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,43,Black,16-30 Min,FALSE,Moving violation,Arrest Driver
M,24,Black,16-30 Min,FALSE,Speeding,Arrest Driver
F,28,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,27,White,0-15 Min,FALSE,Moving violation,Arrest Driver
M,38,White,0-15 Min,FALSE,Moving violation,Arrest Driver
M,22,White,30+ Min,FALSE,Speeding,Arrest Driver
M,25,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,35,White,16-30 Min,FALSE,Moving violation,Arrest Driver
F,21,White,16-30 Min,FALSE,Speeding,Arrest Driver
F,43,White,16-30 Min,FALSE,Registration/plates,Arrest Driver
F,34,White,16-30 Min,FALSE,Moving violation,Arrest Driver
M,22,Black,30+ Min,FALSE,Registration/plates,Arrest Driver
M,26,Black,0-15 Min,FALSE,Moving violation,Arrest Driver
M,53,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,41,Black,16-30 Min,FALSE,Moving violation,Arrest Driver
M,45,Black,30+ Min,FALSE,Speeding,Arrest Driver
M,21,White,16-30 Min,FALSE,Moving violation,Arrest Driver
M,40,White,16-30 Min,TRUE,Speeding,Arrest Passenger
M,43,White,16-30 Min,FALSE,Moving violation,Arrest Driver
M,36,White,16-30 Min,FALSE,Moving violation,Arrest Driver
M,27,White,30+ Min,FALSE,Speeding,Arrest Driver
M,27,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,30,White,30+ Min,FALSE,Other,Arrest Driver
M,37,White,16-30 Min,FALSE,Equipment,Arrest Driver
M,20,Black,30+ Min,FALSE,Equipment,Arrest Passenger
M,41,White,0-15 Min,FALSE,Equipment,Arrest Passenger
M,49,Hispanic,0-15 Min,TRUE,Speeding,Arrest Passenger
M,35,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,35,Black,16-30 Min,FALSE,Speeding,Arrest Driver
M,42,White,0-15 Min,FALSE,Moving violation,Arrest Driver
M,38,Black,30+ Min,FALSE,Speeding,Arrest Driver
M,39,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,50,Black,30+ Min,FALSE,Other,Arrest Driver
M,31,White,30+ Min,FALSE,Speeding,Arrest Driver
M,25,White,16-30 Min,FALSE,Speeding,Arrest Driver
F,25,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,26,Black,30+ Min,FALSE,Speeding,Arrest Driver
M,22,Black,0-15 Min,FALSE,Speeding,Arrest Driver
M,39,Black,0-15 Min,FALSE,Moving violation,Arrest Driver
M,42,White,30+ Min,FALSE,Speeding,Arrest Driver
M,30,White,30+ Min,FALSE,Speeding,Arrest Driver
F,30,White,16-30 Min,FALSE,Registration/plates,Arrest Passenger
M,24,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,32,Black,0-15 Min,FALSE,Speeding,Arrest Driver
M,24,Asian,16-30 Min,FALSE,Equipment,Arrest Driver
M,24,White,16-30 Min,FALSE,Speeding,Arrest Driver
F,24,Black,16-30 Min,FALSE,Registration/plates,Arrest Passenger
M,26,Black,16-30 Min,FALSE,Speeding,Arrest Passenger
F,25,White,16-30 Min,FALSE,Other,Arrest Driver
M,24,White,0-15 Min,FALSE,Moving violation,Arrest Driver
F,42,White,16-30 Min,FALSE,Registration/plates,Arrest Driver
M,59,White,30+ Min,FALSE,Speeding,Arrest Driver
M,38,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,27,Black,16-30 Min,FALSE,Speeding,Arrest Driver
M,25,White,30+ Min,FALSE,Other,Arrest Driver
F,32,White,30+ Min,TRUE,Moving violation,Arrest Driver
M,37,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,34,Black,16-30 Min,FALSE,Speeding,Arrest Driver
M,21,White,16-30 Min,FALSE,Speeding,Arrest Passenger
M,38,White,30+ Min,FALSE,Equipment,Arrest Driver
F,33,Black,30+ Min,FALSE,Moving violation,Arrest Passenger
M,34,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,22,White,30+ Min,FALSE,Equipment,Arrest Passenger
M,42,White,30+ Min,FALSE,Moving violation,Arrest Driver
F,26,White,30+ Min,FALSE,Moving violation,Arrest Driver
M,25,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,32,White,30+ Min,TRUE,Registration/plates,Arrest Driver
F,40,White,30+ Min,FALSE,Registration/plates,Arrest Driver
M,38,White,30+ Min,FALSE,Speeding,Arrest Driver
M,38,White,30+ Min,FALSE,Speeding,Arrest Driver
M,35,Black,16-30 Min,FALSE,Equipment,Arrest Driver
M,33,White,0-15 Min,FALSE,Moving violation,Arrest Passenger
M,46,Black,16-30 Min,FALSE,Speeding,Arrest Driver
M,52,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,27,White,30+ Min,FALSE,Speeding,Arrest Driver
M,29,White,0-15 Min,FALSE,Speeding,Arrest Driver
M,19,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,33,Black,0-15 Min,FALSE,Registration/plates,Arrest Driver
M,40,White,0-15 Min,FALSE,Moving violation,Arrest Driver
M,29,Black,30+ Min,FALSE,Equipment,Arrest Passenger
M,27,White,30+ Min,FALSE,Equipment,Arrest Driver
M,24,Black,0-15 Min,FALSE,Equipment,Arrest Passenger
M,27,Black,0-15 Min,FALSE,Moving violation,Arrest Driver
F,26,Black,0-15 Min,FALSE,Speeding,Arrest Driver
M,26,White,16-30 Min,FALSE,Other,Arrest Driver
