driver_gender,driver_age,driver_race,stop_duration,drugs_related_stop,violation,stop_outcome
M,29,White,0-15 Min,FALSE,Speeding,Citation
M,47,White,0-15 Min,FALSE,Speeding,Citation
M,36,White,0-15 Min,FALSE,Speeding,Citation
M,19,White,0-15 Min,FALSE,Speeding,Citation
F,24,White,0-15 Min,FALSE,Speeding,Citation
M,32,White,0-15 Min,FALSE,Speeding,Citation
M,29,White,0-15 Min,FALSE,Speeding,Citation
M,41,White,0-15 Min,FALSE,Speeding,Citation
M,33,Black,0-15 Min,FALSE,Speeding,Citation
M,19,White,0-15 Min,FALSE,Speeding,Citation
F,19,White,0-15 Min,FALSE,Speeding,Citation
M,31,Asian,16-30 Min,FALSE,Speeding,Citation
M,28,White,0-15 Min,FALSE,Speeding,Citation
M,37,White,0-15 Min,FALSE,Speeding,Citation
F,23,White,0-15 Min,FALSE,Speeding,Citation
M,40,White,0-15 Min,FALSE,Speeding,Citation
F,37,White,0-15 Min,FALSE,Speeding,Citation
M,20,White,0-15 Min,FALSE,Speeding,Citation
M,67,White,0-15 Min,FALSE,Speeding,Citation
M,25,White,0-15 Min,FALSE,Speeding,Citation
F,23,White,0-15 Min,FALSE,Speeding,Citation
M,48,White,0-15 Min,FALSE,Speeding,Citation
M,42,White,0-15 Min,FALSE,Speeding,Citation
M,21,White,0-15 Min,FALSE,Speeding,Citation
M,30,White,30+ Min,FALSE,Speeding,Arrest Driver
M,45,White,0-15 Min,FALSE,Speeding,Citation
F,44,White,0-15 Min,FALSE,Speeding,Citation
F,26,Black,0-15 Min,FALSE,Speeding,Citation
F,46,Black,0-15 Min,FALSE,Speeding,Citation
M,25,White,0-15 Min,FALSE,Speeding,Citation
F,21,White,0-15 Min,FALSE,Speeding,Citation
M,24,Black,0-15 Min,FALSE,Speeding,Citation
M,25,Black,0-15 Min,FALSE,Speeding,Citation
M,31,Black,0-15 Min,FALSE,Speeding,Citation
M,18,White,0-15 Min,FALSE,Speeding,Citation
M,57,White,0-15 Min,FALSE,Speeding,Citation
M,19,White,0-15 Min,FALSE,Speeding,Citation
M,31,White,0-15 Min,FALSE,Speeding,Citation
M,22,White,0-15 Min,FALSE,Speeding,Citation
M,27,White,0-15 Min,FALSE,Speeding,Citation
F,55,Asian,0-15 Min,FALSE,Speeding,Citation
M,29,White,0-15 Min,FALSE,Speeding,Citation
M,17,White,0-15 Min,FALSE,Speeding,Citation
M,40,White,0-15 Min,FALSE,Equipment,Warning
F,23,White,0-15 Min,FALSE,Speeding,Citation
F,24,White,0-15 Min,FALSE,Speeding,Citation
M,28,White,0-15 Min,FALSE,Speeding,Citation
M,30,Black,30+ Min,FALSE,Speeding,Arrest Driver
M,30,Black,30+ Min,FALSE,Speeding,Arrest Driver
M,29,White,0-15 Min,FALSE,Speeding,Citation
M,27,Black,16-30 Min,FALSE,Equipment,Citation
M,34,Black,0-15 Min,FALSE,Speeding,Citation
M,44,White,30+ Min,FALSE,Equipment,Warning
M,25,White,0-15 Min,FALSE,Speeding,Citation
F,44,White,0-15 Min,FALSE,Speeding,Citation
M,45,White,0-15 Min,FALSE,Speeding,Citation
M,51,White,0-15 Min,FALSE,Registration/plates,Citation
M,30,White,0-15 Min,FALSE,Speeding,Citation
M,40,White,0-15 Min,FALSE,Speeding,Citation
M,44,White,30+ Min,FALSE,Other,Arrest Driver
M,44,White,30+ Min,FALSE,Other,Arrest Driver
M,49,White,30+ Min,TRUE,Moving violation,Arrest Driver
M,23,White,0-15 Min,FALSE,Speeding,Citation
M,41,White,0-15 Min,FALSE,Speeding,Citation
F,18,White,0-15 Min,FALSE,Speeding,Citation
M,41,White,0-15 Min,FALSE,Speeding,Citation
M,22,White,0-15 Min,FALSE,Speeding,Citation
M,20,White,0-15 Min,FALSE,Speeding,Citation
M,41,White,0-15 Min,FALSE,Speeding,Citation
M,32,White,0-15 Min,FALSE,Speeding,Citation
M,29,Other,0-15 Min,FALSE,Speeding,Citation
M,28,White,16-30 Min,FALSE,Registration/plates,Citation
M,24,Black,30+ Min,FALSE,Speeding,Citation
M,24,Black,30+ Min,FALSE,Speeding,Arrest Driver
F,21,White,0-15 Min,FALSE,Speeding,Citation
M,37,White,0-15 Min,FALSE,Speeding,Citation
F,61,White,0-15 Min,FALSE,Speeding,Citation
M,70,White,0-15 Min,FALSE,Speeding,Citation
M,38,White,0-15 Min,FALSE,Speeding,Citation
M,20,White,16-30 Min,FALSE,Speeding,Arrest Passenger
M,22,Black,16-30 Min,FALSE,Moving violation,Arrest Driver
M,25,Black,16-30 Min,TRUE,Equipment,Arrest Driver
M,21,White,0-15 Min,FALSE,Speeding,Citation
M,47,Asian,0-15 Min,FALSE,Speeding,Citation
M,36,Black,16-30 Min,FALSE,Moving violation,Arrest Driver
M,25,Black,16-30 Min,FALSE,Equipment,Arrest Driver
F,20,White,16-30 Min,FALSE,Speeding,Citation
M,29,White,0-15 Min,FALSE,Moving violation,Citation
M,42,White,16-30 Min,FALSE,Speeding,Citation
M,24,White,0-15 Min,FALSE,Speeding,Citation
M,24,White,0-15 Min,FALSE,Speeding,Citation
M,26,White,0-15 Min,FALSE,Speeding,Citation
F,21,White,0-15 Min,FALSE,Speeding,Citation
M,34,White,30+ Min,FALSE,Other,Citation
M,26,White,0-15 Min,FALSE,Other,Citation
M,42,White,0-15 Min,FALSE,Speeding,Citation
M,20,White,0-15 Min,FALSE,Other,Citation
F,53,White,0-15 Min,FALSE,Speeding,Citation
F,24,Asian,0-15 Min,FALSE,Speeding,Citation
M,24,White,16-30 Min,FALSE,Moving violation,Citation
M,40,White,16-30 Min,FALSE,Moving violation,Citation
M,57,White,0-15 Min,FALSE,Speeding,Citation
M,45,White,0-15 Min,FALSE,Speeding,Citation
M,25,Black,30+ Min,FALSE,Equipment,N/D
F,30,White,0-15 Min,FALSE,Speeding,Citation
M,55,Black,0-15 Min,FALSE,Moving violation,Citation
M,48,Black,0-15 Min,FALSE,Speeding,Citation
M,27,Black,16-30 Min,FALSE,Speeding,Citation
M,35,White,0-15 Min,FALSE,Speeding,Warning
M,47,White,16-30 Min,FALSE,Moving violation,Citation
M,60,White,0-15 Min,FALSE,Speeding,Citation
F,40,White,0-15 Min,FALSE,Speeding,Citation
M,43,Black,0-15 Min,FALSE,Moving violation,Citation
M,21,White,0-15 Min,FALSE,Moving violation,Citation
M,27,White,0-15 Min,FALSE,Equipment,N/D
M,38,White,0-15 Min,FALSE,Speeding,Citation
M,35,White,0-15 Min,FALSE,Speeding,Citation
M,59,White,0-15 Min,FALSE,Moving violation,Citation
M,27,White,0-15 Min,FALSE,Speeding,Citation
F,36,Asian,0-15 Min,FALSE,Speeding,Citation
M,23,White,0-15 Min,FALSE,Speeding,Citation
M,64,White,0-15 Min,FALSE,Speeding,Citation
M,25,Other,0-15 Min,FALSE,Moving violation,Citation
M,44,Black,16-30 Min,FALSE,Speeding,Citation
M,20,White,16-30 Min,FALSE,Speeding,Citation
M,40,White,16-30 Min,FALSE,Equipment,Citation
M,50,White,16-30 Min,FALSE,Registration/plates,Citation
M,25,White,0-15 Min,FALSE,Speeding,Citation
M,35,Asian,0-15 Min,FALSE,Moving violation,Citation
F,25,White,0-15 Min,FALSE,Speeding,Citation
M,20,White,0-15 Min,FALSE,Speeding,Citation
M,30,Asian,0-15 Min,FALSE,Speeding,Citation
M,40,White,0-15 Min,FALSE,Moving violation,Citation
F,18,White,0-15 Min,FALSE,Equipment,N/D
M,38,White,0-15 Min,FALSE,Moving violation,Citation
M,39,Black,0-15 Min,FALSE,Moving violation,Citation
F,25,White,0-15 Min,FALSE,Speeding,Citation
M,24,White,0-15 Min,FALSE,Speeding,Citation
M,32,Hispanic,16-30 Min,FALSE,Moving violation,Arrest Driver
M,32,White,0-15 Min,FALSE,Speeding,Citation
M,36,White,0-15 Min,FALSE,Speeding,Citation
M,23,White,30+ Min,FALSE,Other,Citation
M,26,White,16-30 Min,FALSE,Speeding,Citation
F,37,White,0-15 Min,FALSE,Speeding,Citation
F,19,White,0-15 Min,FALSE,Speeding,Citation
M,61,White,16-30 Min,FALSE,Speeding,Citation
M,22,Black,0-15 Min,FALSE,Speeding,Citation
M,58,Black,16-30 Min,FALSE,Moving violation,Arrest Driver
F,24,Black,16-30 Min,FALSE,Speeding,Arrest Passenger
M,18,Black,16-30 Min,FALSE,Equipment,Arrest Driver
F,46,Black,0-15 Min,FALSE,Speeding,Citation
M,36,Asian,0-15 Min,FALSE,Speeding,Citation
M,23,White,0-15 Min,FALSE,Speeding,Citation
M,17,White,16-30 Min,FALSE,Moving violation,Citation
F,27,White,0-15 Min,FALSE,Speeding,Citation
F,36,White,0-15 Min,FALSE,Speeding,Citation
M,28,White,0-15 Min,FALSE,Speeding,Citation
M,23,White,0-15 Min,FALSE,Speeding,Citation
M,19,White,16-30 Min,TRUE,Other,Arrest Passenger
M,27,White,0-15 Min,FALSE,Equipment,Citation
M,26,Asian,0-15 Min,FALSE,Speeding,Citation
F,32,White,16-30 Min,FALSE,Speeding,Citation
M,31,White,30+ Min,FALSE,Other,Arrest Driver
M,27,White,0-15 Min,FALSE,Speeding,Citation
M,23,White,0-15 Min,FALSE,Speeding,Citation
M,32,White,16-30 Min,FALSE,Speeding,Citation
F,43,White,0-15 Min,FALSE,Speeding,Citation
M,19,White,0-15 Min,FALSE,Speeding,Citation
F,33,White,0-15 Min,FALSE,Speeding,Citation
F,20,White,0-15 Min,FALSE,Speeding,Citation
F,52,White,16-30 Min,FALSE,Speeding,Citation
F,39,White,0-15 Min,FALSE,Speeding,Citation
M,46,White,0-15 Min,FALSE,Speeding,Citation
F,25,Asian,16-30 Min,FALSE,Speeding,Citation
F,41,White,0-15 Min,FALSE,Moving violation,Citation
F,22,White,0-15 Min,FALSE,Equipment,Citation
M,27,White,0-15 Min,FALSE,Equipment,Citation
M,27,White,0-15 Min,FALSE,Equipment,Citation
F,39,White,0-15 Min,FALSE,Speeding,Citation
M,44,White,0-15 Min,FALSE,Speeding,Citation
M,25,White,16-30 Min,FALSE,Other,Citation
F,21,White,0-15 Min,FALSE,Speeding,Citation
F,27,White,0-15 Min,FALSE,Speeding,Citation
M,33,White,0-15 Min,FALSE,Speeding,Citation
M,18,White,16-30 Min,TRUE,Equipment,Arrest Passenger
M,22,White,0-15 Min,FALSE,Speeding,Citation
M,20,Black,0-15 Min,FALSE,Speeding,Citation
F,61,White,0-15 Min,FALSE,Speeding,Citation
M,23,White,0-15 Min,FALSE,Speeding,Citation
F,21,White,0-15 Min,FALSE,Speeding,Citation
M,21,White,0-15 Min,FALSE,Speeding,Citation
M,33,White,0-15 Min,FALSE,Moving violation,Citation
F,28,White,0-15 Min,FALSE,Speeding,Citation
M,29,White,0-15 Min,FALSE,Moving violation,Arrest Driver
M,42,White,0-15 Min,FALSE,Moving violation,Arrest Driver
M,42,White,0-15 Min,FALSE,Moving violation,Arrest Driver
M,55,Asian,0-15 Min,FALSE,Speeding,Citation
M,42,White,0-15 Min,FALSE,Speeding,Citation
F,27,Black,0-15 Min,FALSE,Registration/plates,Warning
M,63,White,0-15 Min,FALSE,Moving violation,Citation
M,28,White,0-15 Min,FALSE,Speeding,Citation
M,30,White,0-15 Min,FALSE,Speeding,Citation
M,25,White,0-15 Min,FALSE,Equipment,Citation
F,22,White,0-15 Min,FALSE,Moving violation,Citation
F,18,White,0-15 Min,FALSE,Speeding,Citation
F,19,White,0-15 Min,FALSE,Equipment,N/D
M,23,Black,0-15 Min,FALSE,Speeding,Citation
M,20,White,0-15 Min,FALSE,Speeding,Citation
M,22,Asian,0-15 Min,FALSE,Speeding,Citation
M,21,White,0-15 Min,FALSE,Speeding,Arrest Driver
M,22,Black,0-15 Min,FALSE,Speeding,Citation
M,30,White,0-15 Min,FALSE,Speeding,Citation
M,35,Black,0-15 Min,FALSE,Speeding,Citation
M,54,White,16-30 Min,FALSE,Equipment,Citation
F,17,White,0-15 Min,FALSE,Moving violation,Citation
M,54,White,0-15 Min,FALSE,Speeding,Citation
M,31,White,0-15 Min,FALSE,Speeding,Citation
M,41,White,0-15 Min,FALSE,Moving violation,Citation
M,19,White,0-15 Min,FALSE,Speeding,Citation
M,32,White,0-15 Min,FALSE,Speeding,Citation
M,21,White,0-15 Min,FALSE,Speeding,Citation
M,19,White,16-30 Min,FALSE,Speeding,Citation
F,35,White,0-15 Min,FALSE,Speeding,Citation
M,19,White,0-15 Min,FALSE,Speeding,Citation
F,21,Asian,0-15 Min,FALSE,Speeding,Citation
M,21,White,0-15 Min,FALSE,Moving violation,Citation
M,19,White,30+ Min,FALSE,Other,Citation
M,36,White,0-15 Min,FALSE,Other,Citation
M,19,White,16-30 Min,FALSE,Speeding,Citation
M,27,White,16-30 Min,FALSE,Speeding,Citation
M,50,White,16-30 Min,FALSE,Other,Arrest Driver
F,21,White,16-30 Min,FALSE,Speeding,Citation
M,51,White,0-15 Min,FALSE,Moving violation,Citation
M,27,White,0-15 Min,FALSE,Moving violation,Citation
F,27,White,16-30 Min,FALSE,Equipment,N/D
M,24,White,0-15 Min,FALSE,Speeding,Citation
M,34,White,0-15 Min,FALSE,Speeding,Citation
M,29,White,0-15 Min,FALSE,Speeding,Citation
M,51,White,0-15 Min,FALSE,Speeding,Citation
M,34,White,0-15 Min,FALSE,Speeding,Citation
M,27,White,16-30 Min,FALSE,Speeding,Citation
F,31,White,0-15 Min,FALSE,Speeding,Citation
M,32,Black,0-15 Min,FALSE,Speeding,Citation
F,22,Black,0-15 Min,FALSE,Moving violation,Citation
M,40,White,0-15 Min,FALSE,Speeding,Citation
M,41,White,30+ Min,FALSE,Speeding,Arrest Driver
F,51,White,0-15 Min,FALSE,Speeding,Citation
M,26,White,0-15 Min,FALSE,Speeding,Citation
F,23,White,0-15 Min,FALSE,Speeding,Citation
M,19,White,0-15 Min,FALSE,Moving violation,Citation
M,25,White,0-15 Min,FALSE,Speeding,Citation
M,42,White,0-15 Min,TRUE,Moving violation,Citation
M,20,White,0-15 Min,FALSE,Equipment,Citation
M,54,White,0-15 Min,FALSE,Registration/plates,Citation
M,22,White,0-15 Min,FALSE,Equipment,Citation
M,28,Hispanic,0-15 Min,FALSE,Speeding,Citation
M,29,White,0-15 Min,FALSE,Speeding,Citation
F,21,White,0-15 Min,FALSE,Speeding,Citation
M,52,Black,16-30 Min,FALSE,Equipment,Arrest Driver
M,45,White,0-15 Min,FALSE,Speeding,Citation
M,24,White,0-15 Min,FALSE,Speeding,Citation
M,19,Black,0-15 Min,FALSE,Speeding,Citation
M,35,White,0-15 Min,FALSE,Speeding,Citation
M,27,White,0-15 Min,FALSE,Speeding,Citation
M,40,White,0-15 Min,FALSE,Speeding,Citation
M,40,White,0-15 Min,FALSE,Speeding,Citation
F,33,White,0-15 Min,FALSE,Speeding,Citation
F,51,White,0-15 Min,FALSE,Speeding,Citation
M,54,White,0-15 Min,FALSE,Speeding,Citation
M,35,White,0-15 Min,FALSE,Speeding,Citation
M,21,White,0-15 Min,FALSE,Speeding,Citation
M,28,White,30+ Min,TRUE,Moving violation,Arrest Driver
F,19,White,0-15 Min,FALSE,Speeding,Citation
M,18,Hispanic,0-15 Min,FALSE,Moving violation,Arrest Driver
M,18,Hispanic,0-15 Min,FALSE,Moving violation,Arrest Driver
M,37,White,0-15 Min,FALSE,Speeding,Citation
M,56,White,0-15 Min,FALSE,Speeding,Citation
M,32,Black,0-15 Min,FALSE,Moving violation,Citation
M,45,White,0-15 Min,FALSE,Speeding,Citation
M,28,Asian,0-15 Min,FALSE,Equipment,Citation
M,21,White,0-15 Min,FALSE,Speeding,Citation
M,43,White,0-15 Min,FALSE,Speeding,Citation
M,50,Black,0-15 Min,FALSE,Equipment,Citation
M,25,White,0-15 Min,FALSE,Speeding,Citation
M,31,Black,0-15 Min,FALSE,Speeding,Citation
M,30,Black,30+ Min,FALSE,Speeding,Arrest Driver
M,31,White,0-15 Min,FALSE,Speeding,Citation
M,22,Black,16-30 Min,FALSE,Registration/plates,Arrest Driver
M,38,White,0-15 Min,FALSE,Equipment,Citation
F,36,White,0-15 Min,FALSE,Moving violation,Citation
M,44,White,0-15 Min,FALSE,Speeding,Citation
M,31,White,0-15 Min,FALSE,Speeding,Citation
F,28,White,0-15 Min,FALSE,Speeding,Citation
M,42,White,0-15 Min,FALSE,Speeding,Citation
M,57,White,0-15 Min,FALSE,Speeding,Citation
M,43,White,0-15 Min,FALSE,Equipment,Citation
M,28,White,0-15 Min,FALSE,Speeding,Citation
M,32,White,0-15 Min,FALSE,Other,Citation
M,29,White,30+ Min,FALSE,Speeding,Warning
M,45,White,0-15 Min,FALSE,Speeding,Citation
M,64,Black,0-15 Min,FALSE,Speeding,Citation
M,27,White,30+ Min,FALSE,Speeding,Citation
M,24,White,0-15 Min,FALSE,Speeding,Citation
M,47,White,0-15 Min,FALSE,Speeding,Citation
M,24,White,0-15 Min,FALSE,Speeding,Citation
M,22,White,0-15 Min,FALSE,Speeding,Citation
M,17,White,0-15 Min,FALSE,Speeding,Citation
M,33,White,0-15 Min,FALSE,Moving violation,Citation
M,21,White,0-15 Min,FALSE,Moving violation,Citation
M,26,White,0-15 Min,FALSE,Speeding,Citation
M,40,White,0-15 Min,FALSE,Speeding,Citation
M,24,Black,16-30 Min,FALSE,Speeding,Citation
F,23,Black,0-15 Min,FALSE,Speeding,Citation
M,56,White,0-15 Min,FALSE,Moving violation,Citation
M,31,White,0-15 Min,FALSE,Speeding,Citation
M,29,White,30+ Min,FALSE,Speeding,Arrest Driver
F,33,Asian,0-15 Min,FALSE,Speeding,Citation
M,36,White,0-15 Min,FALSE,Speeding,Citation
M,29,White,0-15 Min,FALSE,Speeding,Citation
M,29,Black,16-30 Min,FALSE,Speeding,Citation
F,41,White,0-15 Min,FALSE,Speeding,Citation
M,34,White,0-15 Min,FALSE,Speeding,Citation
M,44,Black,30+ Min,FALSE,Speeding,Arrest Driver
M,25,White,0-15 Min,FALSE,Moving violation,Citation
F,21,White,0-15 Min,FALSE,Speeding,Citation
M,23,Black,0-15 Min,FALSE,Speeding,Citation
M,27,White,0-15 Min,FALSE,Speeding,Citation
M,19,White,0-15 Min,FALSE,Equipment,Citation
M,18,White,0-15 Min,FALSE,Moving violation,Citation
M,20,White,16-30 Min,FALSE,Speeding,Citation
F,19,White,0-15 Min,FALSE,Speeding,Citation
M,17,Black,0-15 Min,FALSE,Speeding,Citation
M,52,White,0-15 Min,FALSE,Speeding,Citation
M,43,White,0-15 Min,FALSE,Speeding,Citation
M,28,White,30+ Min,FALSE,Equipment,Arrest Driver
M,49,White,0-15 Min,FALSE,Speeding,Citation
M,42,White,0-15 Min,FALSE,Speeding,Citation
M,39,White,0-15 Min,FALSE,Speeding,Citation
M,48,White,0-15 Min,FALSE,Speeding,Citation
M,24,White,0-15 Min,FALSE,Speeding,Citation
M,26,White,0-15 Min,FALSE,Speeding,Citation
M,23,White,0-15 Min,FALSE,Equipment,Citation
M,25,White,0-15 Min,FALSE,Speeding,Citation
M,42,White,0-15 Min,FALSE,Speeding,Citation
F,19,White,0-15 Min,FALSE,Speeding,Citation
F,45,White,0-15 Min,FALSE,Moving violation,Citation
M,33,Hispanic,0-15 Min,FALSE,Speeding,Citation
M,22,Black,0-15 Min,FALSE,Speeding,Citation
M,29,Black,0-15 Min,FALSE,Speeding,Citation
F,22,White,0-15 Min,FALSE,Speeding,Citation
M,25,White,0-15 Min,FALSE,Speeding,Citation
M,17,White,0-15 Min,FALSE,Speeding,Citation
M,31,White,30+ Min,FALSE,Moving violation,Citation
M,48,White,16-30 Min,FALSE,Speeding,Citation
F,64,White,16-30 Min,FALSE,Speeding,Citation
M,55,White,0-15 Min,FALSE,Speeding,Citation
F,27,Black,16-30 Min,FALSE,Speeding,Citation
M,52,White,16-30 Min,FALSE,Speeding,Citation
F,22,White,0-15 Min,FALSE,Equipment,N/D
M,32,White,0-15 Min,FALSE,Speeding,Citation
M,22,White,0-15 Min,FALSE,Moving violation,Warning
F,26,White,0-15 Min,FALSE,Equipment,Warning
F,18,Black,0-15 Min,FALSE,Speeding,Citation
F,22,White,0-15 Min,FALSE,Speeding,Citation
M,58,White,0-15 Min,FALSE,Speeding,Citation
M,23,White,0-15 Min,FALSE,Speeding,Citation
M,20,White,16-30 Min,FALSE,Registration/plates,Arrest Driver
M,38,White,16-30 Min,FALSE,Moving violation,Arrest Driver
F,25,Black,0-15 Min,FALSE,Moving violation,Citation
F,25,White,0-15 Min,FALSE,Speeding,Citation
M,44,White,0-15 Min,FALSE,Speeding,Citation
M,35,White,0-15 Min,FALSE,Speeding,Citation
M,25,White,0-15 Min,FALSE,Moving violation,Warning
M,49,White,16-30 Min,FALSE,Moving violation,Citation
M,53,White,0-15 Min,FALSE,Moving violation,Citation
F,18,White,0-15 Min,FALSE,Speeding,Citation
M,31,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,18,White,0-15 Min,FALSE,Speeding,Citation
M,47,White,0-15 Min,FALSE,Speeding,Citation
F,22,Asian,0-15 Min,FALSE,Speeding,Citation
M,22,White,0-15 Min,FALSE,Speeding,Citation
M,22,Black,16-30 Min,FALSE,Registration/plates,Citation
M,36,White,0-15 Min,FALSE,Moving violation,Citation
F,45,White,0-15 Min,FALSE,Moving violation,Citation
M,22,White,0-15 Min,FALSE,Speeding,Citation
F,18,White,16-30 Min,FALSE,Speeding,Citation
M,32,White,0-15 Min,FALSE,Speeding,Citation
M,32,White,0-15 Min,FALSE,Speeding,Citation
M,21,White,0-15 Min,FALSE,Speeding,Warning
M,24,White,0-15 Min,FALSE,Equipment,N/D
F,24,White,0-15 Min,FALSE,Speeding,Citation
M,26,Black,0-15 Min,FALSE,Speeding,Citation
M,33,White,0-15 Min,FALSE,Speeding,Citation
M,47,White,16-30 Min,FALSE,Equipment,Arrest Driver
M,29,White,0-15 Min,FALSE,Registration/plates,Citation
F,35,Black,16-30 Min,FALSE,Moving violation,Citation
M,49,White,16-30 Min,FALSE,Registration/plates,Arrest Driver
M,22,White,0-15 Min,FALSE,Speeding,Citation
M,24,Asian,0-15 Min,FALSE,Equipment,Citation
M,40,White,16-30 Min,FALSE,Moving violation,Citation
M,39,White,0-15 Min,FALSE,Speeding,Citation
F,33,Black,0-15 Min,FALSE,Speeding,Citation
M,23,White,0-15 Min,FALSE,Speeding,Citation
M,21,Black,0-15 Min,FALSE,Speeding,Citation
F,21,White,0-15 Min,FALSE,Speeding,Citation
F,50,White,0-15 Min,FALSE,Moving violation,Citation
F,28,White,0-15 Min,FALSE,Moving violation,Citation
F,40,White,0-15 Min,FALSE,Speeding,Citation
M,51,Black,0-15 Min,FALSE,Moving violation,Citation
M,22,White,0-15 Min,FALSE,Moving violation,Citation
M,40,White,30+ Min,FALSE,Equipment,Citation
M,30,White,0-15 Min,FALSE,Speeding,Citation
M,51,White,16-30 Min,FALSE,Moving violation,Arrest Driver
F,39,White,0-15 Min,FALSE,Speeding,Citation
M,20,White,0-15 Min,FALSE,Speeding,Citation
M,30,Black,16-30 Min,FALSE,Speeding,Citation
M,38,White,0-15 Min,FALSE,Speeding,Citation
M,35,Black,0-15 Min,FALSE,Speeding,Warning
F,30,Black,0-15 Min,FALSE,Speeding,Citation
F,19,White,16-30 Min,FALSE,Speeding,Arrest Driver
M,66,White,0-15 Min,FALSE,Speeding,Citation
F,54,Asian,0-15 Min,FALSE,Speeding,Citation
M,33,Black,0-15 Min,FALSE,Moving violation,Citation
M,60,White,16-30 Min,FALSE,Speeding,Citation
M,27,White,0-15 Min,FALSE,Speeding,Citation
M,58,White,16-30 Min,FALSE,Moving violation,Warning
M,39,White,0-15 Min,FALSE,Speeding,Citation
M,33,White,0-15 Min,FALSE,Speeding,Citation
M,54,White,0-15 Min,FALSE,Moving violation,Citation
M,39,White,0-15 Min,FALSE,Moving violation,Citation
M,31,White,30+ Min,FALSE,Moving violation,Arrest Passenger
F,19,White,0-15 Min,FALSE,Speeding,Citation
M,22,White,0-15 Min,FALSE,Moving violation,Citation
M,38,White,0-15 Min,FALSE,Moving violation,Citation
F,28,Black,0-15 Min,FALSE,Moving violation,Citation
M,23,White,0-15 Min,FALSE,Moving violation,Citation
M,18,White,0-15 Min,FALSE,Speeding,Citation
M,20,White,0-15 Min,FALSE,Speeding,Citation
M,18,White,0-15 Min,FALSE,Equipment,Citation
M,23,White,16-30 Min,FALSE,Moving violation,Arrest Driver
M,23,White,16-30 Min,FALSE,Moving violation,Arrest Driver
F,18,White,16-30 Min,FALSE,Speeding,Citation
M,47,White,0-15 Min,FALSE,Speeding,Citation
M,44,Black,16-30 Min,FALSE,Equipment,Arrest Driver
M,24,White,0-15 Min,FALSE,Speeding,Citation
M,44,Black,16-30 Min,FALSE,Equipment,Arrest Driver
M,20,White,0-15 Min,FALSE,Moving violation,Citation
